"non-terminals",";","IDENTIFIER",":","CASE","DEFAULT","{","}","IF","(",")","SWITCH","ELSE","WHILE","DO","FOR","GOTO","CONTINUE","BREAK","RETURN",",","?","OR_OP","AND_OP","|","^","&","EQ_OP","NE_OP","<",">","LE_OP","GE_OP","LEFT_OP","RIGHT_OP","+","-","*","/","%","INC_OP","DEC_OP","SIZEOF","~","!","[","]",".","PTR_OP","CONSTANT","STRING_LITERAL","=","TYPEDEF","EXTERN","STATIC","AUTO","REGISTER","VOID","CHAR","SHORT","INT","LONG","FLOAT","DOUBLE","SIGNED","UNSIGNED","TYPE_NAME","STRUCT","UNION","ENUM","CONST","VOLATILE","ELLIPSIS","comma_opt","MUL_ASSIGN","DIV_ASSIGN","MOD_ASSIGN","ADD_ASSIGN","SUB_ASSIGN","LEFT_ASSIGN","RIGHT_ASSIGN","AND_ASSIGN","XOR_ASSIGN","OR_ASSIGN","$",
"inclusive_or_expression","error"," exclusive_or_expression inclusive_or_tail","error","error","error","error","error","error"," exclusive_or_expression inclusive_or_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," exclusive_or_expression inclusive_or_tail","error","error","error","error","error","error","error","error"," exclusive_or_expression inclusive_or_tail"," exclusive_or_expression inclusive_or_tail"," exclusive_or_expression inclusive_or_tail","error","error"," exclusive_or_expression inclusive_or_tail"," exclusive_or_expression inclusive_or_tail"," exclusive_or_expression inclusive_or_tail"," exclusive_or_expression inclusive_or_tail"," exclusive_or_expression inclusive_or_tail","error","error","error","error"," exclusive_or_expression inclusive_or_tail"," exclusive_or_expression inclusive_or_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"logical_and_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," AND_OP inclusive_or_expression logical_and_tail","error","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"exclusive_or_expression","error"," and_expression exclusive_or_tail","error","error","error","error","error","error"," and_expression exclusive_or_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," and_expression exclusive_or_tail","error","error","error","error","error","error","error","error"," and_expression exclusive_or_tail"," and_expression exclusive_or_tail"," and_expression exclusive_or_tail","error","error"," and_expression exclusive_or_tail"," and_expression exclusive_or_tail"," and_expression exclusive_or_tail"," and_expression exclusive_or_tail"," and_expression exclusive_or_tail","error","error","error","error"," and_expression exclusive_or_tail"," and_expression exclusive_or_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"inclusive_or_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," | exclusive_or_expression inclusive_or_tail","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"and_expression","error"," equality_expression and_tail","error","error","error","error","error","error"," equality_expression and_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," equality_expression and_tail","error","error","error","error","error","error","error","error"," equality_expression and_tail"," equality_expression and_tail"," equality_expression and_tail","error","error"," equality_expression and_tail"," equality_expression and_tail"," equality_expression and_tail"," equality_expression and_tail"," equality_expression and_tail","error","error","error","error"," equality_expression and_tail"," equality_expression and_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"exclusive_or_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," ^ and_expression exclusive_or_tail"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"equality_expression","error"," relational_expression equality_tail","error","error","error","error","error","error"," relational_expression equality_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," relational_expression equality_tail","error","error","error","error","error","error","error","error"," relational_expression equality_tail"," relational_expression equality_tail"," relational_expression equality_tail","error","error"," relational_expression equality_tail"," relational_expression equality_tail"," relational_expression equality_tail"," relational_expression equality_tail"," relational_expression equality_tail","error","error","error","error"," relational_expression equality_tail"," relational_expression equality_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"and_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," & equality_expression and_tail","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"relational_expression","error"," shift_expression relational_tail","error","error","error","error","error","error"," shift_expression relational_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," shift_expression relational_tail","error","error","error","error","error","error","error","error"," shift_expression relational_tail"," shift_expression relational_tail"," shift_expression relational_tail","error","error"," shift_expression relational_tail"," shift_expression relational_tail"," shift_expression relational_tail"," shift_expression relational_tail"," shift_expression relational_tail","error","error","error","error"," shift_expression relational_tail"," shift_expression relational_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"equality_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," EQ_OP relational_expression equality_tail"," NE_OP relational_expression equality_tail","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"shift_expression","error"," additive_expression shift_tail","error","error","error","error","error","error"," additive_expression shift_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," additive_expression shift_tail","error","error","error","error","error","error","error","error"," additive_expression shift_tail"," additive_expression shift_tail"," additive_expression shift_tail","error","error"," additive_expression shift_tail"," additive_expression shift_tail"," additive_expression shift_tail"," additive_expression shift_tail"," additive_expression shift_tail","error","error","error","error"," additive_expression shift_tail"," additive_expression shift_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"relational_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," < shift_expression relational_tail"," > shift_expression relational_tail"," LE_OP shift_expression relational_tail"," GE_OP shift_expression relational_tail","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"additive_expression","error"," multiplicative_expression additive_tail","error","error","error","error","error","error"," multiplicative_expression additive_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," multiplicative_expression additive_tail","error","error","error","error","error","error","error","error"," multiplicative_expression additive_tail"," multiplicative_expression additive_tail"," multiplicative_expression additive_tail","error","error"," multiplicative_expression additive_tail"," multiplicative_expression additive_tail"," multiplicative_expression additive_tail"," multiplicative_expression additive_tail"," multiplicative_expression additive_tail","error","error","error","error"," multiplicative_expression additive_tail"," multiplicative_expression additive_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"shift_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," LEFT_OP additive_expression shift_tail"," RIGHT_OP additive_expression shift_tail"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"multiplicative_expression","error"," cast_expression multiplicative_tail","error","error","error","error","error","error"," cast_expression multiplicative_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," cast_expression multiplicative_tail","error","error","error","error","error","error","error","error"," cast_expression multiplicative_tail"," cast_expression multiplicative_tail"," cast_expression multiplicative_tail","error","error"," cast_expression multiplicative_tail"," cast_expression multiplicative_tail"," cast_expression multiplicative_tail"," cast_expression multiplicative_tail"," cast_expression multiplicative_tail","error","error","error","error"," cast_expression multiplicative_tail"," cast_expression multiplicative_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"additive_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," + multiplicative_expression additive_tail"," - multiplicative_expression additive_tail"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"cast_expression","error"," unary_expression","error","error","error","error","error","error"," unary_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," unary_expression","error","error","error","error","error","error","error","error"," unary_expression"," unary_expression"," unary_expression","error","error"," unary_expression"," unary_expression"," unary_expression"," unary_expression"," unary_expression","error","error","error","error"," unary_expression"," unary_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"multiplicative_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," * cast_expression multiplicative_tail"," / cast_expression multiplicative_tail"," % cast_expression multiplicative_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"unary_expression","error"," postfix_expression","error","error","error","error","error","error"," postfix_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," unary_operator cast_expression","error","error","error","error","error","error","error","error"," unary_operator cast_expression"," unary_operator cast_expression"," unary_operator cast_expression","error","error"," INC_OP unary_expression"," DEC_OP unary_expression"," SIZEOF unary_expr_or_type"," unary_operator cast_expression"," unary_operator cast_expression","error","error","error","error"," postfix_expression"," postfix_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"type_name","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt"," specifier_qualifier_list abstract_declarator_opt","error","error","error","error","error","error","error","error","error","error","error","error","error",
"postfix_expression","error"," primary_expression postfix_tail","error","error","error","error","error","error"," primary_expression postfix_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," primary_expression postfix_tail"," primary_expression postfix_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"unary_operator","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," &","error","error","error","error","error","error","error","error"," +"," -"," *","error","error","error","error","error"," ~"," !","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"unary_expr_or_type","error"," unary_expression","error","error","error","error","error","error"," unary_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," unary_expression","error","error","error","error","error","error","error","error"," unary_expression"," unary_expression"," unary_expression","error","error"," unary_expression"," unary_expression"," unary_expression"," unary_expression"," unary_expression","error","error","error","error"," unary_expression"," unary_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"primary_expression","error"," IDENTIFIER","error","error","error","error","error","error"," ( expression )","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," CONSTANT"," STRING_LITERAL","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"postfix_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," ( argument_expression_list_opt ) postfix_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," INC_OP postfix_tail"," DEC_OP postfix_tail"," epsilon"," epsilon"," epsilon"," [ expression ] postfix_tail"," epsilon"," . IDENTIFIER postfix_tail"," PTR_OP IDENTIFIER postfix_tail"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"argument_expression_list_opt","error"," argument_expression_list","error","error","error","error","error","error"," argument_expression_list"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," argument_expression_list","error","error","error","error","error","error","error","error"," argument_expression_list"," argument_expression_list"," argument_expression_list","error","error"," argument_expression_list"," argument_expression_list"," argument_expression_list"," argument_expression_list"," argument_expression_list"," epsilon","error"," epsilon"," epsilon"," argument_expression_list"," argument_expression_list","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"argument_expression_list","error"," assignment_expression argument_expression_list_tail","error","error","error","error","error","error"," assignment_expression argument_expression_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," assignment_expression argument_expression_list_tail","error","error","error","error","error","error","error","error"," assignment_expression argument_expression_list_tail"," assignment_expression argument_expression_list_tail"," assignment_expression argument_expression_list_tail","error","error"," assignment_expression argument_expression_list_tail"," assignment_expression argument_expression_list_tail"," assignment_expression argument_expression_list_tail"," assignment_expression argument_expression_list_tail"," assignment_expression argument_expression_list_tail","error","error","error","error"," assignment_expression argument_expression_list_tail"," assignment_expression argument_expression_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"argument_expression_list_tail","error","error","error","error","error","error","error","error"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error"," , assignment_expression argument_expression_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon","error","error","error"," epsilon","error"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"init_declarator_list_opt"," epsilon"," init_declarator_list","error","error","error","error","error","error"," init_declarator_list","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," init_declarator_list","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"storage_class_specifier","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," TYPEDEF"," EXTERN"," STATIC"," AUTO"," REGISTER","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"declaration_specifiers_opt"," epsilon"," epsilon","error","error","error","error","error","error"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon","error","error","error","error","error","error","error"," epsilon","error","error","error","error","error","error"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers"," declaration_specifiers","error","error","error","error","error","error","error","error","error","error","error","error","error",
"type_specifier","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," VOID"," CHAR"," SHORT"," INT"," LONG"," FLOAT"," DOUBLE"," SIGNED"," UNSIGNED"," TYPE_NAME"," struct_or_union_specifier"," struct_or_union_specifier"," enum_specifier","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"type_qualifier","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," CONST"," VOLATILE","error","error","error","error","error","error","error","error","error","error","error","error","error",
"init_declarator_list","error"," init_declarator init_declarator_list_tail","error","error","error","error","error","error"," init_declarator init_declarator_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," init_declarator init_declarator_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"init_declarator","error"," declarator initializer_opt","error","error","error","error","error","error"," declarator initializer_opt","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declarator initializer_opt","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"initializer_opt"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," = initializer","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"initializer","error"," assignment_expression","error","error","error"," { initializer_list comma_opt }","error","error"," assignment_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," assignment_expression","error","error","error","error","error","error","error","error"," assignment_expression"," assignment_expression"," assignment_expression","error","error"," assignment_expression"," assignment_expression"," assignment_expression"," assignment_expression"," assignment_expression","error","error","error","error"," assignment_expression"," assignment_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"struct_or_union_specifier","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," struct_or_union struct_body"," struct_or_union struct_body","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"enum_specifier","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," ENUM enum_body","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"struct_or_union","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," STRUCT"," UNION","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"struct_body","error"," IDENTIFIER struct_opt","error","error","error"," { struct_declaration_list }","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"struct_opt"," epsilon"," epsilon"," epsilon","error","error"," { struct_declaration_list }","error","error"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error"," epsilon","error","error","error","error","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error"," epsilon"," epsilon","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error",
"struct_declaration_list","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail"," struct_declaration struct_declaration_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error",
