"non-terminals",";","IDENTIFIER",":","CASE","DEFAULT","{","}","IF","(",")","SWITCH","ELSE","WHILE","DO","FOR","GOTO","CONTINUE","BREAK","RETURN",",","?","OR_OP","AND_OP","|","^","&","EQ_OP","NE_OP","<",">","LE_OP","GE_OP","LEFT_OP","RIGHT_OP","+","-","*","/","%","INC_OP","DEC_OP","SIZEOF","~","!","[","]",".","PTR_OP","CONSTANT","STRING_LITERAL","=","TYPEDEF","EXTERN","STATIC","AUTO","REGISTER","VOID","CHAR","SHORT","INT","LONG","FLOAT","DOUBLE","SIGNED","UNSIGNED","TYPE_NAME","STRUCT","UNION","ENUM","CONST","VOLATILE","ELLIPSIS","comma_opt","MUL_ASSIGN","DIV_ASSIGN","MOD_ASSIGN","ADD_ASSIGN","SUB_ASSIGN","LEFT_ASSIGN","RIGHT_ASSIGN","AND_ASSIGN","XOR_ASSIGN","OR_ASSIGN","$",
"compound_statement","error","error","error","error","error"," { declaration_list_opt statement_list_opt }","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"init_declarator_list_tail"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," , init_declarator init_declarator_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"statement"," expression_statement"," labeled_statement","error"," labeled_statement"," labeled_statement"," compound_statement"," expression_statement"," selection_statement"," expression_statement"," expression_statement"," selection_statement"," expression_statement"," expression_statement"," iteration_statement"," iteration_statement"," jump_statement"," jump_statement"," jump_statement"," jump_statement","error","error","error","error","error","error"," expression_statement","error","error","error","error","error","error","error","error"," expression_statement"," expression_statement"," expression_statement","error","error"," expression_statement"," expression_statement"," expression_statement"," expression_statement"," expression_statement","error","error","error","error"," expression_statement"," expression_statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"labeled_statement","error"," IDENTIFIER : statement","error"," CASE constant_expression : statement"," DEFAULT : statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"expression_statement"," expression_opt ;"," expression_opt ;","error","error","error","error"," expression_opt ;","error"," expression_opt ;"," expression_opt ;","error"," expression_opt ;"," expression_opt ;","error","error","error","error","error","error","error","error","error","error","error","error"," expression_opt ;","error","error","error","error","error","error","error","error"," expression_opt ;"," expression_opt ;"," expression_opt ;","error","error"," expression_opt ;"," expression_opt ;"," expression_opt ;"," expression_opt ;"," expression_opt ;","error","error","error","error"," expression_opt ;"," expression_opt ;","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"selection_statement","error","error","error","error","error","error","error"," IF ( expression ) statement else_opt","error","error"," SWITCH ( expression ) statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"iteration_statement","error","error","error","error","error","error","error","error","error","error","error","error"," WHILE ( expression ) statement"," DO statement WHILE ( expression ) ;"," FOR ( expression_opt ; expression_opt ; expression_opt ) statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"jump_statement","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," GOTO IDENTIFIER ;"," CONTINUE ;"," BREAK ;"," RETURN expression_opt ;","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"constant_expression","error"," conditional_expression","error","error","error","error","error","error"," conditional_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," conditional_expression","error","error","error","error","error","error","error","error"," conditional_expression"," conditional_expression"," conditional_expression","error","error"," conditional_expression"," conditional_expression"," conditional_expression"," conditional_expression"," conditional_expression","error","error","error","error"," conditional_expression"," conditional_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"statement_list_opt","error","error","error","error","error","error"," statement_list","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
